,a1,b1,a2,b2,fun(a1),fun(b1),fun(a2),fun(b2),b1-a1,p
0,0.0,2.0,0.763948,1.236052,0.0,4.0,-24.360697,-18.958518,2.0,0.3819742489270386
1,0.0,1.236052,0.472103,0.763948,0.0,-18.958507564684737,-21.09778,-24.360697,1.236052,0.3819444444444444
2,0.472103,1.236052,0.763948,0.944206,-21.097780041065185,-18.958507564684737,-24.360697,-23.59307,0.763948,0.3820224719101124
3,0.472103,0.944206,0.652361,0.763948,-21.097780041065185,-23.593070168226006,-23.836458,-24.360697,0.472103,0.38181818181818183
4,0.652361,0.944206,0.763948,0.832618,-23.836461875303574,-23.593070168226006,-24.360697,-24.288502,0.291845,0.38235294117647056
5,0.652361,0.832618,0.72103,0.763948,-23.836461875303574,-24.288502478867564,-24.256695,-24.360697,0.180258,0.38095238095238093
6,0.72103,0.832618,0.763948,0.7897,-24.256694782182635,-24.288502478867564,-24.360697,-24.367211,0.111588,0.3846153846153846
7,0.763948,0.832618,0.7897,0.806867,-24.360696634873282,-24.288502478867564,-24.367211,-24.348957,0.06867,0.375
8,0.763948,0.806867,0.781116,0.7897,-24.360696634873282,-24.348956850976634,-24.3696,-24.367211,0.042918,0.4
9,0.763948,0.7897,0.772532,0.781116,-24.360696634873282,-24.367210425693315,-24.367443,-24.3696,0.025751,0.33333333333333337
10,0.772532,0.7897,0.781116,0.781974,-24.367442423095515,-24.367210425693315,-24.3696,-24.369565,0.017167,0.45
11,0.772532,0.781974,0.776139,0.781116,-24.367442423095515,-24.36956491840189,-24.367443,-24.369565,0.009442,0.382
